latitude,longitude,count
41.85,-87.69,1
41.85,-87.71,1
41.94,-87.68,1
41.85,-87.73,1
41.84,-87.62,1
41.84,-87.64,1
41.95,-87.78,1
41.95,-87.76,1
41.74,-87.57,1
41.7,-87.62,1
41.76,-87.61,1
